Date,Open,High,Low,Close,Adj Close,Volume
2017-04-04,9067.950195,9093.240234,9029.719727,9091.190430,9091.190430,0
2017-04-05,9092.669922,9144.179688,8994.599609,9027.150391,9027.150391,0
2017-04-06,9027.150391,9046.169922,8921.969727,8974.959961,8974.959961,0
2017-04-07,8974.080078,9081.129883,8939.950195,9018.049805,9018.049805,0
2017-04-10,9018.049805,9056.969727,8944.139648,8999.400391,8999.400391,0
2017-04-11,8999.559570,9061.320313,8846.540039,9003.690430,9003.690430,0
2017-04-12,9004.620117,9035.639648,8953.959961,8966.230469,8966.230469,0
2017-04-13,8966.230469,8985.950195,8861.450195,8868.610352,8868.610352,0
2017-04-17,8868.610352,9033.860352,8868.530273,9025.019531,9025.019531,0
2017-04-18,9025.309570,9056.860352,8981.469727,9027.269531,9027.269531,0
2017-04-19,9029.400391,9065.089844,8919.750000,8937.330078,8937.330078,0
2017-04-20,8937.030273,9034.669922,8937.030273,9006.509766,9006.509766,0
2017-04-24,9006.709961,9116.530273,9006.709961,9054.290039,9054.290039,0
2017-04-25,9054.280273,9125.240234,9004.400391,9125.240234,9125.240234,0
2017-04-26,9123.059570,9136.709961,9054.009766,9105.660156,9105.660156,0
2017-04-27,9106.080078,9144.650391,8986.469727,9060.870117,9060.870117,0
2017-04-28,9061.820313,9193.030273,9045.740234,9192.299805,9192.299805,0
2017-05-02,9192.570313,9404.690430,9192.570313,9390.030273,9390.030273,0
2017-05-03,9389.549805,9438.219727,9367.709961,9381.940430,9381.940430,0
2017-05-04,9381.910156,9384.769531,9202.339844,9250.440430,9250.440430,0
2017-05-05,9252.540039,9327.320313,9237.230469,9321.700195,9321.700195,0
2017-05-08,9319.589844,9366.809570,9282.179688,9311.209961,9311.209961,0
2017-05-09,9313.780273,9496.250000,9313.780273,9470.629883,9470.629883,0
2017-05-10,9472.730469,9636.360352,9472.730469,9625.610352,9625.610352,0
2017-05-11,9625.839844,9633.900391,9564.740234,9578.740234,9578.740234,0
2017-05-12,9578.269531,9672.089844,9578.269531,9641.160156,9641.160156,0
2017-05-15,9642.799805,9677.040039,9624.870117,9653.809570,9653.809570,0
2017-05-16,9654.660156,9680.269531,9610.490234,9668.540039,9668.540039,0
